store_id,store_name,city,state,region,store_format,opening_date
S001,Cafe Urbano Paulista,Sao Paulo,SP,Sudeste,Flagship,2018-02-10
S002,Cafe Urbano Carioca,Rio de Janeiro,RJ,Sudeste,Loja de Rua,2019-06-25
S003,Cafe Urbano Pampulha,Belo Horizonte,MG,Sudeste,Quiosque,2020-09-18
S004,Cafe Urbano Batel,Curitiba,PR,Sul,Loja de Rua,2017-11-07
S005,Cafe Urbano Moinhos,Porto Alegre,RS,Sul,Flagship,2018-05-13
S006,Cafe Urbano Aldeota,Fortaleza,CE,Nordeste,Loja de Rua,2021-03-29
S007,Cafe Urbano Barra,Salvador,BA,Nordeste,Quiosque,2020-01-17
S008,Cafe Urbano Boa Viagem,Recife,PE,Nordeste,Loja de Rua,2019-04-02
S009,Cafe Urbano Nazare,Belem,PA,Norte,Quiosque,2022-07-12
S010,Cafe Urbano Cerrado,Goiania,GO,Centro-Oeste,Loja de Rua,2021-10-08
